Date,Adj Close,Close,High,Low,Open,Volume
23-06-2025,1633.249634,1703.199951,1729.800049,1699.199951,1729.199951,2221446
24-06-2025,1622.317871,1691.800049,1732.599976,1689.199951,1719.900024,3601071
25-06-2025,1646.578735,1717.099976,1720.699951,1701,1702,1307518
26-06-2025,1653.29126,1724.099976,1726.900024,1702.699951,1710,2971055
27-06-2025,1652.52417,1723.300049,1752.5,1710.800049,1735,6478283
30-06-2025,1657.606445,1728.599976,1734.800049,1713.300049,1725,1855229
01-07-2025,1647.729492,1718.300049,1745,1714,1728.599976,1639826
02-07-2025,1648.01709,1718.599976,1738.5,1711,1722,2069447
03-07-2025,1641.592285,1711.900024,1730.5,1706.5,1716,1839063
04-07-2025,1655.017456,1725.900024,1729,1706.199951,1715,768500
07-07-2025,1640.153931,1710.400024,1725.5,1703.300049,1725.5,1366412
08-07-2025,1637.948364,1708.099976,1718.900024,1687.5,1700,2139193
09-07-2025,1605.248657,1674,1714.300049,1671,1710,2894808
10-07-2025,1595.371704,1663.699951,1679.900024,1649,1675,2740853
11-07-2025,1571.015015,1638.300049,1655.5,1630,1643.199951,2548153
14-07-2025,1553.274902,1619.800049,1642.400024,1607,1640,3334703
15-07-2025,1502.068115,1566.400024,1621.400024,1550,1590,14685607
16-07-2025,1498.615845,1562.800049,1574,1560,1566.400024,5218099
17-07-2025,1480.492065,1543.900024,1566.800049,1542.400024,1563.599976,4966082
18-07-2025,1496.824951,1548.800049,1550,1530,1544,3902458
21-07-2025,1479.042358,1530.400024,1550.699951,1526,1548.800049,3368842
22-07-2025,1469.088013,1520.099976,1539.800049,1518.300049,1533.099976,3218227
23-07-2025,1478.462524,1529.800049,1536,1518,1524.099976,3471536
24-07-2025,1456.62085,1507.199951,1537.900024,1501.599976,1530,4654421
25-07-2025,1440.094727,1490.099976,1512.199951,1486.599976,1501.099976,2733655
28-07-2025,1416.900146,1466.099976,1494.199951,1463.5,1490.099976,4404841
29-07-2025,1422.98877,1472.400024,1477.5,1461,1466.099976,6223556
30-07-2025,1426.951172,1476.5,1484.300049,1468.800049,1480.5,1642426
31-07-2025,1418.639771,1467.900024,1482.699951,1459.5,1465,2306285
01-08-2025,1403.369873,1452.099976,1466.900024,1450,1465,2152783
04-08-2025,1424.921631,1474.400024,1475.400024,1440.599976,1452.099976,2384774
05-08-2025,1432.942993,1482.699951,1485.400024,1471.199951,1479.900024,2614394
06-08-2025,1414.097412,1463.199951,1483.699951,1456.400024,1480.900024,1735697
07-08-2025,1425.984619,1475.5,1479.199951,1451,1458,1495363
08-08-2025,1426.177856,1475.699951,1482.199951,1459,1474.800049,2815614
11-08-2025,1438.065308,1488,1531,1465.599976,1475,2374556
12-08-2025,1448.792603,1499.099976,1509.900024,1489,1490,3422656
13-08-2025,1450.725708,1501.099976,1507.5,1489,1500,2916128
14-08-2025,1439.804932,1489.800049,1516.199951,1485.800049,1501,4227538
18-08-2025,1435.165894,1485,1501.900024,1475.900024,1498.099976,2795155
19-08-2025,1426.564575,1476.099976,1482.599976,1469.199951,1476.300049,2515817
20-08-2025,1445.796753,1496,1500.300049,1458,1468,10219330
21-08-2025,1443.380615,1493.5,1505,1486.099976,1500,2157601
22-08-2025,1417.093506,1466.300049,1491.5,1464,1489.599976,2802805
25-08-2025,1453.721558,1504.199951,1509.699951,1476.199951,1480,2764914
26-08-2025,1442.704224,1492.800049,1506.5,1485,1501.900024,4092265
28-08-2025,1401.147217,1449.800049,1488,1446,1488,4367902
29-08-2025,1405.97937,1454.800049,1462.599976,1439.199951,1449.800049,3404604
01-09-2025,1419.122925,1468.400024,1472.5,1446,1446,2105254
02-09-2025,1416.513428,1465.699951,1477.400024,1459.699951,1469,1295198
03-09-2025,1416.900146,1466.099976,1475,1452.599976,1475,1800307
04-09-2025,1394.865356,1443.300049,1465.900024,1440.900024,1465.099976,2192155
05-09-2025,1371.380737,1419,1452.300049,1402.800049,1448,3895199
08-09-2025,1355.917603,1403,1428.599976,1401,1423.900024,2929976
09-09-2025,1379.208862,1427.099976,1431.800049,1409.099976,1410.199951,2906889
10-09-2025,1414.773926,1463.900024,1471.900024,1432.099976,1434.900024,3205017
11-09-2025,1418.446411,1467.699951,1470.400024,1458.300049,1463.900024,1982922
12-09-2025,1417.963257,1467.199951,1480,1463,1475,2110883
15-09-2025,1417.286621,1466.5,1468.300049,1452,1467.199951,1725617
16-09-2025,1433.329712,1483.099976,1485.199951,1461.099976,1463.900024,1724524
17-09-2025,1431.783325,1481.5,1499,1475.300049,1490.800049,2656774
18-09-2025,1443.670532,1493.800049,1502.900024,1486.099976,1492.599976,2792406
19-09-2025,1418.156616,1467.400024,1493.800049,1464,1493.800049,3197957
22-09-2025,1391.579468,1439.900024,1449.199951,1415,1423,4457129
23-09-2025,1381.818359,1429.800049,1444.199951,1420.400024,1444.199951,3106480
24-09-2025,1393.898804,1442.300049,1444.699951,1420,1425.099976,2894044
25-09-2025,1376.019653,1423.800049,1442.5,1416,1440.199951,2713246
26-09-2025,1348.476196,1395.300049,1426.5,1392,1420,2568054
29-09-2025,1340.841309,1387.400024,1402.599976,1383,1397.099976,2990852
30-09-2025,1338.618408,1385.099976,1405,1381.900024,1392.099976,2782077
01-10-2025,1342.870728,1389.5,1396.800049,1382,1386.099976,2253527
03-10-2025,1346.73645,1393.5,1399.800049,1380.400024,1396.5,2793839
06-10-2025,1370.124268,1417.699951,1421,1390.800049,1393.5,1970901
07-10-2025,1385.297607,1433.400024,1441.900024,1417.199951,1422,1592836
08-10-2025,1404.432983,1453.199951,1458.699951,1427.199951,1433.199951,1735807
09-10-2025,1436.615479,1486.5,1491.099976,1452.5,1453.199951,2681316
10-10-2025,1445.313477,1495.5,1498.5,1473.900024,1491,2129445
13-10-2025,1444.540405,1494.699951,1502.199951,1476.5,1490,1820492
14-10-2025,1445.216919,1495.400024,1535,1490.199951,1515.400024,5802489
15-10-2025,1445.506714,1495.699951,1509.400024,1486.099976,1497.900024,1710696
16-10-2025,1464.159302,1515,1519.900024,1498,1499.900024,2021043
17-10-2025,1447.793335,1486.199951,1501.300049,1479.199951,1499,3210161
20-10-2025,1456.755615,1495.400024,1509.900024,1489.099976,1489.900024,2354881
21-10-2025,1447.598389,1486,1503,1481,1502.699951,274400
23-10-2025,1484.519043,1523.900024,1547.5,1505.5,1510,5011470
24-10-2025,1484.421631,1523.800049,1532.599976,1516.400024,1525,1491451
27-10-2025,1493.870972,1533.5,1549.5,1526.800049,1531.400024,1394846
28-10-2025,1482.765503,1522.099976,1542,1512,1535,1936466
29-10-2025,1517.055908,1557.300049,1559,1522,1530,2596355
30-10-2025,1509.749756,1549.800049,1559.900024,1538.099976,1557.699951,2183395
31-10-2025,1501.664307,1541.5,1558.199951,1537.599976,1549.800049,1723467
03-11-2025,1503.612549,1543.5,1549.699951,1528.199951,1540.099976,2252136
