Date,Adj Close,Close,High,Low,Open,Volume,Daily_return,Price_Range,Ma_5day,Ma_20day,Volatility_%,Volume_Change_%,Trend
2025-06-23,1633,1703,1730,1699,1729,2221446,-1.5037593984962405,31,,,1.8203170874926602,,Downtrend
2025-06-24,1622,1692,1733,1689,1720,3601071,-1.627906976744186,44,,,2.6004728132387704,62.1048182130018,Downtrend
2025-06-25,1647,1717,1721,1701,1702,1307518,0.881316098707403,20,,,1.1648223645894,-63.690857525441736,Downtrend
2025-06-26,1653,1724,1727,1703,1710,2971055,0.8187134502923977,24,,,1.3921113689095126,127.22861176672136,Downtrend
2025-06-27,1653,1723,1752,1711,1735,6478283,-0.69164265129683,41,1711.8,,2.379570516540917,118.04655248724778,Downtrend
2025-06-30,1658,1729,1735,1713,1725,1855229,0.2318840579710145,22,1717.0,,1.2724117987275883,-71.36233474209138,Downtrend
2025-07-01,1648,1718,1745,1714,1729,1639826,-0.6362058993637941,31,1722.2,,1.8044237485448196,-11.61058823465998,Downtrend
2025-07-02,1648,1719,1738,1711,1722,2069447,-0.17421602787456447,27,1722.6,,1.5706806282722512,26.199182108345642,Downtrend
2025-07-03,1642,1712,1730,1706,1716,1839063,-0.2331002331002331,24,1720.2,,1.4018691588785046,-11.132635916744904,Downtrend
2025-07-04,1655,1726,1729,1706,1715,768500,0.641399416909621,23,1720.8,,1.3325608342989572,-58.21241577912231,Downtrend
2025-07-07,1640,1710,1726,1703,1726,1366412,-0.9269988412514484,23,1717.0,,1.345029239766082,77.8024723487313,Downtrend
2025-07-08,1638,1708,1719,1688,1700,2139193,0.4705882352941176,31,1715.0,,1.8149882903981265,56.555489852255405,Downtrend
2025-07-09,1605,1674,1714,1671,1710,2894808,-2.1052631578947367,43,1706.0,,2.5686977299880525,35.32243233780215,Downtrend
2025-07-10,1595,1664,1680,1649,1675,2740853,-0.6567164179104478,31,1696.4,,1.8629807692307692,-5.3183147206999575,Downtrend
2025-07-11,1571,1638,1656,1630,1643,2548153,-0.30432136335970783,26,1678.8,,1.5873015873015872,-7.030657973995691,Downtrend
2025-07-14,1553,1620,1642,1607,1640,3334703,-1.2195121951219512,35,1660.8,,2.1604938271604937,30.867455761094398,Downtrend
2025-07-15,1502,1566,1621,1550,1590,14685607,-1.509433962264151,71,1632.4,,4.5338441890166035,340.38725487697104,Downtrend
2025-07-16,1499,1563,1574,1560,1566,5218099,-0.19157088122605362,14,1610.2,,0.8957133717210494,-64.46793789320387,Downtrend
2025-07-17,1480,1544,1567,1542,1564,4966082,-1.278772378516624,25,1586.2,,1.6191709844559583,-4.829670728746239,Downtrend
2025-07-18,1497,1549,1550,1530,1544,3902458,0.3238341968911917,20,1568.4,1669.95,1.2911555842479019,-21.417769581734657,Downtrend
2025-07-21,1479,1530,1551,1526,1549,3368842,-1.2265978050355069,25,1550.4,1661.3,1.6339869281045754,-13.673843510935924,Downtrend
2025-07-22,1469,1520,1540,1518,1533,3218227,-0.8480104370515329,22,1541.2,1652.7,1.4473684210526316,-4.470824099200854,Downtrend
2025-07-23,1478,1530,1536,1518,1524,3471536,0.39370078740157477,18,1534.6,1643.35,1.1764705882352942,7.871073109510296,Downtrend
2025-07-24,1457,1507,1538,1502,1530,4654421,-1.5032679738562091,36,1527.2,1632.5,2.3888520238885205,34.07382207760483,Downtrend
2025-07-25,1440,1490,1512,1487,1501,2733655,-0.7328447701532311,25,1515.4,1620.85,1.6778523489932886,-41.26756045488794,Downtrend
2025-07-28,1417,1466,1494,1464,1490,4404841,-1.6107382550335572,30,1502.6,1607.7,2.046384720327422,61.13375682008153,Downtrend
2025-07-29,1423,1472,1478,1461,1466,6223556,0.4092769440654843,17,1493.0,1595.4,1.154891304347826,41.28900452933488,Downtrend
2025-07-30,1427,1476,1484,1469,1480,1642426,-0.2702702702702703,15,1482.2,1583.25,1.0162601626016259,-73.60952484399594,Downtrend
2025-07-31,1419,1468,1483,1460,1465,2306285,0.20477815699658702,23,1474.4,1571.05,1.5667574931880108,40.41941615634435,Downtrend
2025-08-01,1403,1452,1467,1450,1465,2152783,-0.8873720136518772,17,1466.8,1557.35,1.1707988980716253,-6.6558122695156925,Downtrend
2025-08-04,1425,1474,1475,1441,1452,2384774,1.5151515151515151,34,1468.4,1545.55,2.3066485753052914,10.776329987741452,Downtrend
2025-08-05,1433,1483,1485,1471,1480,2614394,0.20270270270270271,14,1470.6,1534.3,0.9440323668240054,9.62858535022606,Downtrend
2025-08-06,1414,1463,1484,1456,1481,1735697,-1.2153950033760972,28,1468.0,1523.75,1.9138755980861244,-33.609968505129686,Downtrend
2025-08-07,1426,1476,1479,1451,1458,1495363,1.2345679012345678,28,1469.6,1514.35,1.8970189701897018,-13.84654118777644,Downtrend
2025-08-08,1426,1476,1482,1459,1475,2815614,0.06779661016949153,23,1474.4,1506.25,1.5582655826558265,88.28966612120269,Downtrend
