Date,Adj Close,Close,High,Low,Open,Volume
2025-06-23,1633,1703,1730,1699,1729,2221446
2025-06-24,1622,1692,1733,1689,1720,3601071
2025-06-25,1647,1717,1721,1701,1702,1307518
2025-06-26,1653,1724,1727,1703,1710,2971055
2025-06-27,1653,1723,1752,1711,1735,6478283
2025-06-30,1658,1729,1735,1713,1725,1855229
2025-07-01,1648,1718,1745,1714,1729,1639826
2025-07-02,1648,1719,1738,1711,1722,2069447
2025-07-03,1642,1712,1730,1706,1716,1839063
2025-07-04,1655,1726,1729,1706,1715,768500
2025-07-07,1640,1710,1726,1703,1726,1366412
2025-07-08,1638,1708,1719,1688,1700,2139193
2025-07-09,1605,1674,1714,1671,1710,2894808
2025-07-10,1595,1664,1680,1649,1675,2740853
2025-07-11,1571,1638,1656,1630,1643,2548153
2025-07-14,1553,1620,1642,1607,1640,3334703
2025-07-15,1502,1566,1621,1550,1590,14685607
2025-07-16,1499,1563,1574,1560,1566,5218099
2025-07-17,1480,1544,1567,1542,1564,4966082
2025-07-18,1497,1549,1550,1530,1544,3902458
2025-07-21,1479,1530,1551,1526,1549,3368842
2025-07-22,1469,1520,1540,1518,1533,3218227
2025-07-23,1478,1530,1536,1518,1524,3471536
2025-07-24,1457,1507,1538,1502,1530,4654421
2025-07-25,1440,1490,1512,1487,1501,2733655
2025-07-28,1417,1466,1494,1464,1490,4404841
2025-07-29,1423,1472,1478,1461,1466,6223556
2025-07-30,1427,1476,1484,1469,1480,1642426
2025-07-31,1419,1468,1483,1460,1465,2306285
2025-08-01,1403,1452,1467,1450,1465,2152783
2025-08-04,1425,1474,1475,1441,1452,2384774
2025-08-05,1433,1483,1485,1471,1480,2614394
2025-08-06,1414,1463,1484,1456,1481,1735697
2025-08-07,1426,1476,1479,1451,1458,1495363
2025-08-08,1426,1476,1482,1459,1475,2815614
2025-08-11,1438,1488,1531,1466,1475,2374556
2025-08-12,1449,1499,1510,1489,1490,3422656
2025-08-13,1451,1501,1508,1489,1500,2916128
2025-08-14,1440,1490,1516,1486,1501,4227538
2025-08-18,1435,1485,1502,1476,1498,2795155
2025-08-19,1427,1476,1483,1469,1476,2515817
2025-08-20,1446,1496,1500,1458,1468,10219330
2025-08-21,1443,1494,1505,1486,1500,2157601
2025-08-22,1417,1466,1492,1464,1490,2802805
2025-08-25,1454,1504,1510,1476,1480,2764914
2025-08-26,1443,1493,1506,1485,1502,4092265
2025-08-28,1401,1450,1488,1446,1488,4367902
2025-08-29,1406,1455,1463,1439,1450,3404604
2025-09-01,1419,1468,1472,1446,1446,2105254
2025-09-02,1417,1466,1477,1460,1469,1295198
2025-09-03,1417,1466,1475,1453,1475,1800307
2025-09-04,1395,1443,1466,1441,1465,2192155
2025-09-05,1371,1419,1452,1403,1448,3895199
2025-09-08,1356,1403,1429,1401,1424,2929976
2025-09-09,1379,1427,1432,1409,1410,2906889
2025-09-10,1415,1464,1472,1432,1435,3205017
2025-09-11,1418,1468,1470,1458,1464,1982922
2025-09-12,1418,1467,1480,1463,1475,2110883
2025-09-15,1417,1466,1468,1452,1467,1725617
2025-09-16,1433,1483,1485,1461,1464,1724524
2025-09-17,1432,1482,1499,1475,1491,2656774
2025-09-18,1444,1494,1503,1486,1493,2792406
2025-09-19,1418,1467,1494,1464,1494,3197957
2025-09-22,1392,1440,1449,1415,1423,4457129
2025-09-23,1382,1430,1444,1420,1444,3106480
2025-09-24,1394,1442,1445,1420,1425,2894044
2025-09-25,1376,1424,1442,1416,1440,2713246
2025-09-26,1348,1395,1426,1392,1420,2568054
2025-09-29,1341,1387,1403,1383,1397,2990852
2025-09-30,1339,1385,1405,1382,1392,2782077
2025-10-01,1343,1390,1397,1382,1386,2253527
2025-10-03,1347,1394,1400,1380,1396,2793839
2025-10-06,1370,1418,1421,1391,1394,1970901
2025-10-07,1385,1433,1442,1417,1422,1592836
2025-10-08,1404,1453,1459,1427,1433,1735807
2025-10-09,1437,1486,1491,1452,1453,2681316
2025-10-10,1445,1496,1498,1474,1491,2129445
2025-10-13,1445,1495,1502,1476,1490,1820492
2025-10-14,1445,1495,1535,1490,1515,5802489
2025-10-15,1446,1496,1509,1486,1498,1710696
2025-10-16,1464,1515,1520,1498,1500,2021043
2025-10-17,1448,1486,1501,1479,1499,3210161
2025-10-20,1457,1495,1510,1489,1490,2354881
2025-10-21,1448,1486,1503,1481,1503,274400
2025-10-23,1485,1524,1548,1506,1510,5011470
2025-10-24,1484,1524,1533,1516,1525,1491451
2025-10-27,1494,1534,1550,1527,1531,1394846
2025-10-28,1483,1522,1542,1512,1535,1936466
2025-10-29,1517,1557,1559,1522,1530,2596355
2025-10-30,1510,1550,1560,1538,1558,2183395
2025-10-31,1502,1542,1558,1538,1550,1723467
2025-11-03,1504,1544,1550,1528,1540,2252136
2025-11-04,1490,1529,1542,1525,1536,1666863
2025-11-06,1487,1526,1532,1514,1529,2474769
2025-11-07,1473,1512,1519,1490,1515,2238714
2025-11-10,1501,1540,1545,1511,1518,1558896
2025-11-11,1529,1570,1572,1541,1548,2270763
2025-11-12,1553,1594,1600,1574,1575,2331564
2025-11-13,1557,1598,1605,1580,1599,1944022
2025-11-14,1553,1595,1598,1574,1590,2543918
2025-11-17,1565,1606,1608,1586,1594,2000978
2025-11-18,1554,1595,1604,1590,1604,1640123
2025-11-19,1620,1663,1670,1589,1595,6342672
2025-11-20,1603,1645,1668,1643,1663,2724035
2025-11-21,1566,1608,1644,1606,1636,2958835
2025-11-24,1569,1610,1640,1603,1614,6392688
2025-11-25,1560,1601,1619,1593,1618,2285950
2025-11-26,1576,1618,1628,1601,1601,1243303
2025-11-27,1587,1629,1633,1614,1619,2106176
2025-11-28,1582,1624,1637,1619,1629,1841289
2025-12-01,1600,1643,1646,1628,1630,2034350
2025-12-02,1593,1636,1653,1624,1651,2326220
2025-12-03,1598,1640,1655,1629,1636,2371611
2025-12-04,1612,1655,1672,1645,1650,3935708
2025-12-05,1640,1683,1691,1651,1663,3391204
2025-12-08,1645,1689,1695,1677,1683,2702407
2025-12-09,1615,1658,1687,1656,1687,2817704
2025-12-10,1623,1666,1671,1657,1663,1482249
2025-12-11,1629,1672,1677,1649,1668,1408684
2025-12-12,1630,1673,1678,1660,1677,1284337
2025-12-15,1640,1684,1688,1660,1673,1689723
2025-12-16,1609,1652,1682,1645,1681,1929309
2025-12-17,1612,1655,1664,1646,1651,1394918
2025-12-18,1618,1661,1674,1651,1657,1822056
2025-12-19,1600,1642,1681,1632,1675,3487150
2025-12-22,1627,1670,1674,1644,1652,1339691
2025-12-23,1636,1680,1687,1656,1675,1614314
2025-12-24,1631,1675,1680,1665,1676,989858
2025-12-26,1618,1661,1676,1650,1668,921138
2025-12-29,1589,1631,1661,1625,1660,1516288
2025-12-30,1573,1615,1636,1611,1631,3323273
2025-12-31,1581,1623,1632,1617,1624,1359963
2026-01-01,1592,1634,1646,1618,1623,773806
2026-01-02,1598,1640,1643,1625,1632,950573
2026-01-05,1566,1608,1634,1580,1625,3245802
2026-01-06,1575,1616,1626,1597,1600,2112043
2026-01-07,1605,1648,1654,1617,1621,3816569
2026-01-08,1604,1647,1661,1635,1653,3266398
2026-01-09,1618,1661,1675,1647,1647,3281306
2026-01-12,1625,1668,1677,1642,1659,4175707
